Priority,Org,Category,Sector,Tier,Why fit,Scale signal,Source,Status
Medium,LetsEndorse,CSR consultancies / aggregators / platforms (channel partners),Social-impact / CSR program & grants platform,Medium,"Tech-enabled CSR/impact platform hosting NGO profiles, discovering grants and structuring corporate-NGO programs. Its grants + program-design surface is a distribution channel to CSR teams; an embeddable afforestation product with geotagging + dashboards fits their tech-forward, measurement-driven positioning. Confirm environment focus per-program.",Operates a grants-discovery engine + NGO discovery platform connecting CSR funders with implementers,https://www.letsendorse.com/resources/grant,
Medium,Dhwani Foundation,CSR consultancies / aggregators / platforms (channel partners),NGO capacity-building + CSR convening platform,Medium,"Builds the NGO ecosystem via capacity-building, MIS/tech tools and CSR convenings (e.g. Tamil Nadu CSR Summit linking govt, non-profits and corporates). A connector/credibility layer between funders and implementers; their MIS/reporting bent aligns with our proof + reporting product. TN-summit convening = useful for the founder's geography.",Runs CSR summits (e.g. Tamil Nadu CSR Summit); provides cloud MIS + support services to NGOs/foundations,https://dhwanifoundation.org/government-non-profits-and-corporates-connect-at-the-tamil-nadu-csr-summit/,
Medium,Grant Thornton Bharat (India),CSR consultancies / aggregators / platforms (channel partners),Professional-services / CSR & ESG advisory,Medium,"Big-firm advisory with a CSR/ESG and impact practice; was the primary screening partner for CSRBOX's national 'Doing Good for Bharat' awards = deep CSR impact-evaluation involvement and broad corporate relationships. Can recommend/embed a vetted, audit-ready afforestation + reporting vendor across its CSR advisory clients.",Large multi-office India advisory firm with CSR/ESG impact-evaluation practice; national CSR-awards screening partner,https://www.grantthornton.global/en/locations/India/,
Medium,TraceX Technologies,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),dMRV + supply-chain traceability platform (carbon & NbS),Medium,"Bengaluru dMRV platform offering plot-level geolocation, defensible baselines, and integrated carbon + biodiversity tracking for agroforestry/NbS. A per-tree census layer slots directly into their stack — potential platform partner or buyer of per-tree capture tooling rather than a competitor.","30+ enterprise clients, ~230,000 farmers on platform, expanding into EU compliance markets",https://tracextech.com/digital-mrv-for-carbon-nature-based-solutions/,
Medium,Boomitra,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Soil-carbon credit developer (satellite + AI MRV) for smallholders,Medium,"Earthshot-winning developer with satellite/AI MRV; URVARA & SOVIN projects Verra-registered (VM0042) covering 12,000+ farmers across 20,000+ ha in India. Core is soil organic carbon, so per-tree MRV is a secondary fit (relevant if/when they add agroforestry/tree lines); otherwise an MRV-sophisticated peer.",First Indian VM0042 issuance (Apr 2025); 5 Verra-registered soil projects globally; pays 55% of gross carbon revenue to farmers,https://boomitra.com/boomitras-carbon-farming-project-in-india-achieves-verra-registration/,
Medium,Grow Indigo (Mahyco x Indigo Ag JV),Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Regenerative-ag / soil-carbon credit developer,Medium,"Aadi project (VCS 2590) approved under Verra Jan 2026 — first Asia issuance under VM0042; ~30,000 acres Punjab/Haryana, 50,000+ credits, footprint 1M+ acres heading to 3M. Primarily soil-carbon MRV (remote sensing), so per-tree MRV is a secondary fit unless they expand into agroforestry; strong MRV-savvy aggregator.",1M+ acres regenerative footprint; first high-integrity Indian soil-carbon issuance; Indigo Ag + Mahyco backing,https://www.growindigo.co.in/indian-farmers-unlock-a-new-harvest-as-grow-indigos-first-high-integrity-soil-carbon-credits-reach-issuance/,
Medium,EKI Energy Services (EnKing International),Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Carbon credit developer & supplier (BSE-listed),Medium,"One of the world's largest carbon developers (200M+ offsets supplied, 16+ countries) developing across project types incl. nature-based/ARR. Per-tree MRV is relevant for any afforestation/agroforestry lines and as audit-grade evidence for their buyers — a targeted (not whole-portfolio) fit at a mature, well-resourced account.","BSE-listed; 3,500+ clients across 40+ countries; #1 renewable-energy carbon developer (Abatable 2022 & 2023)",https://enkingint.org/,
Medium,Farmonaut,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Satellite agritech with carbon MRV / traceability,Medium,"Provides satellite-based MRV (biomass, soil moisture, carbon footprinting, traceability) for India carbon-market projects. A per-tree dMRV layer complements their satellite stack for agroforestry/ARR clients — potential platform partner or tooling buyer rather than a pure tree developer.",Established satellite-insights platform marketing carbon-market MRV for India's 2025 carbon-farming push,https://farmonaut.com/asia/carbon-markets-agriculture-boosting-indias-2025-carbon-farming,
Medium,Nurture.farm (UPL subsidiary),Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Digital ag platform — crop-residue & rice carbon credits,Medium,"Generated India's first agriculture carbon credits (crop-residue management, AWD-DSR rice). Mostly practice-change/avoidance credits today (not per-tree), so per-tree MRV is a secondary fit — relevant if they add tree/agroforestry lines; strong reference account given UPL backing and dMRV-protocol ambitions.","25,000+ farmers across 420,000 acres in CRM program (~1M tCO2 avoided); 120k credits in process + 20k from AWD-DSR",https://news.agropages.com/News/NewsDetail---42254.htm,
Medium,Creduce (Envarrior Consulting Services Ltd),Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Carbon credit advisory & project developer (agriculture/agroforestry),Medium,Ahmedabad-based carbon advisory explicitly developing agriculture and agro-forestry projects. Agroforestry development requires per-tree census/growth evidence for ARR methodologies — direct fit as a developer that would buy or embed per-tree dMRV.,Established carbon advisory across renewable energy + climate-mitigation services with an active agroforestry pipeline,https://timesofagriculture.in/carbon-credit-market/,
Medium,"Bayer (Bayer Rice Carbon Program, India)",Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Corporate regenerative-ag carbon program,Medium,"First India carbon credits from direct-seeded rice; up to 250,000 tCO2e validated under Gold Standard, scaling to 1M ha across 15 states by 2030. Today methane-avoidance/soil (not per-tree), so per-tree MRV is a secondary fit — relevant if the program extends to agroforestry/tree co-benefits; high-credibility reference buyer.",Program across 11 Indian states; up to 250k Gold Standard credits in first tranche; 1M ha / ~3.5M tCO2/yr by 2030,https://www.bayer.com/media/en-us/bayer-to-issue-first-carbon-credits-from-regenerative-farming-practices-in-india/,
Low,Sun Pharmaceutical Industries,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Pharma,Low,CSR portfolio includes a Plantation Project plus wildlife protection and water conservation (FY24-26 board-approved); top-5% global pharma in S&P Global Sustainability Yearbook 2025. Environment CSR present but lighter/less-quantified than the metals/auto majors — qualify scale before pitch.,Plantation Project in FY26 board-approved CSR; S&P Global Yearbook 2025 top-5% pharma,https://sunpharma.com/wp-content/uploads/2025/06/SPIL_Proposed-CSR-Projects_FY26.pdf,
Low,Maruti Suzuki India,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Auto,Low,"WATCH-LIST / qualify-first. Official CSR lists only Community Development, Skill Development, Road Safety; environment handled via an Environment & Energy Policy, not a named afforestation program. Tree-planting referenced loosely; no quantified afforestation found.",CSR ~Rs 168cr+ (2020); 24 villages adopted (water/sanitation focus); no quantified tree program found,https://www.marutisuzuki.com/corporate/about-us/csr,
Low,NIZHAL,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Urban greening / tree-advocacy trust (Chennai, Tamil Nadu)",Low,"Est. 2005, indigenous-species urban greening, tree walks, local biodiversity regeneration; no per-tree digital tracking. A lightweight white-label tree-registry + health-monitoring layer fits urban tree adoption and CSR sponsorship. Tamil Nadu proximity to the founder.",20-year urban-greening track record in Chennai; indigenous-species programs and tree census/walk activity,https://www.nizhaltn.org/,
Low,Vrikshawali,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),Tree-planting NGO with aftercare focus (Rajasthan),Low,Rajasthan NGO explicitly emphasizing sapling aftercare/nurturing — survival/monitoring is core to their pitch yet they have no digital MRV tool. Strong narrative fit: white-label dMRV operationalizes the very aftercare/survival promise they already sell to donors.,Aftercare-and-survival positioning in arid Rajasthan; listed among state-leading plantation NGOs,https://nelda.org.in/tree-plantation-ngos-india/,
Low,Forest Creators,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),Miyawaki forest + afforestation services (India),Low,Builds Miyawaki forests and runs afforestation projects for clients; service-delivery model with project outputs but no continuous per-tree dMRV / client transparency portal — white-label layer becomes their differentiated client-reporting product.,Active Miyawaki + afforestation service provider positioning to CSR/institutional clients,https://forestcreators.com/,
Low,SankalpTaru Foundation,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"IT-enabled afforestation NGO / CSR-ESG aggregator (Dehradun, 28 states/UTs)",Low,"PARTNER/COMPETITOR, not a cold SaaS buyer. ALREADY has strong dMRV (geo-tag + blockchain certificates + 'ForeSTation' IoT/AI forest monitoring, 2024) and aggregates corporate CSR/ESG with geotagged tree adoption. Low white-label fit; high-value as a partner/augmentation target (carbon-grade MRV, allometric biomass) or a competitive benchmark + channel.",3.5M+ trees across 28 states/UTs; blockchain + geo-tag + ForeSTation IoT/AI monitoring (launched 2024); corporate CSR/ESG aggregation,https://sankalptaru.org/greenovation/,
Low,Grow Billion Trees,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),Online tree-planting platform / CSR + carbon (Pune),Low,"PARTNER/COMPETITOR. ALREADY bundles 'GeoTag' as standard ('4ft Tree + 3 Years Care + GeoTag') and sells CSR + carbon services across UP/Maharashtra/MP (agroforestry, Miyawaki, mangrove) structured for voluntary carbon markets. Lower white-label fit; better as a competitive benchmark or a partner for deeper survival-audit / carbon-grade verification beyond basic geo-tag.","Founded 2022, Pune; 1B-tree goal; ~Rs 1.25Cr revenue FY24; GeoTag standard; corporate CSR + carbon programs",https://growbilliontrees.com/pages/tree-plantation-ngos,
Low,Tree Tag,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),Tree geo-tagging / plantation-tech (India),Low,"COMPETITOR / landscape reference, NOT a SaaS customer. Name + listing indicate an existing geo-tagging/plantation-tracking play (dMRV-adjacent). Track as a competitor and a possible acquisition/partner; do not pitch as a buyer.",Listed among tree-plantation orgs on Grow Billion Trees' directory; geo-tagging-oriented offering,https://growbilliontrees.com/pages/tree-plantation-ngos,
Low,Agoro Carbon Alliance (Yara International),Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Regenerative-ag carbon program developer,Low,"Top-5 voluntary-ag-carbon player (>35% share, 2024) with science-based soil-carbon measurement/modeling and active India operations. Primarily soil carbon, so per-tree MRV is a secondary fit — relevant for any agroforestry expansion; strong MRV-mature account and potential partner.",Scaled to 2.5M acres (US) and top-5 globally by ag-carbon market share in 2024; Yara-backed,https://www.yara.com/agorocarbon/,
Low,SatSure,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Satellite remote-sensing analytics (agri / climate action),Low,"Satellite RS + ML platform serving agriculture and climate action (SatMRV-type capability). Per-tree, ground-truth dMRV is complementary to their satellite layer — potential partner/buyer for tree-level data rather than a tree developer. General climate/MRV fit; agroforestry use unconfirmed.","9-year-old company; farm-credit intelligence across 630,000+ plots in 230+ districts; ESA SatMRV involvement",https://business.esa.int/projects/satmrv,
Low,Mynzo Carbon,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Carbon accounting + tree-planting / community forests,Low,Gurugram startup (2022) building community-maintained forests as carbon sinks alongside corporate/individual emissions tracking. The tree-planting/community-forest line needs per-tree growth & survival evidence to monetize as offsets (per-tree fit there); core business is accounting/offset retail = partial/secondary fit. Carbon-credit MRV use partially unconfirmed.,VC-funded (Inc42/PitchBook/Crunchbase-tracked); founder also runs SolarArise; active tree-plantation program,https://inc42.com/company/mynzo-carbon/,
